Key,Language,Message
findElectionType,Default,Which election are you interested in ?
findElectionType,fr,Quelle élection vous intéresse ?
Admin_helpUser_01,Default,You can choose an option from the list below or type: results
Admin_helpUser_01,fr,Vous pouvez choisir une option dans la liste ci-dessous ou taper: résultats
Admin_helpUser_02,Default,You can also ask like this: what score did Joe Bloggs make in Carouge?
Admin_helpUser_02,fr,Vous pouvez aussi me parler comme ceci: quel score a obtenu Jean Dupont à Carouge?
Admin_onboarding,Default,I am here to give you the results of the Cantonal Elections of 15 April 2018
Admin_onboarding,fr,Je suis là afin de vous donner les résultats des élections cantonales du 15 avril 2018
Admin_welcome,Default,Hello and welcome to electionBot
Admin_welcome,fr,Bonjour et bienvenue à electionBot